Lat,Lon
48.4113,-112.8352
18.0057,-65.804
48.6163,-113.4784
48.5379,-114.0702
48.5843,-111.0188
48.612,-110.7939
48.6286,-109.4629
48.6068,-114.9123
48.4489,-112.9705
48.6548,-113.965
