"id","geolocation_as_point.lon","geolocation_as_point.lat","acquisitionTime"
"1161716616",7.769078,49.44557,"01:13:24"
"1161716616",7.769223,49.44594,"01:13:29"
"1161716616",7.769223,49.44594,"01:13:29"
"1161716616",7.769388,49.44526,"01:13:44"
"1161716616",7.769388,49.44526,"01:13:44"
"1161716616",7.769223,49.44594,"01:13:49"
"1161716616",7.769223,49.44594,"01:13:59"
"1161716616",7.76892,49.445564,"01:13:59"
"1161716616",7.769223,49.44594,"01:14:04"
"1161716616",7.769223,49.44594,"01:14:14"
"1161716616",7.769218,49.445568,"01:14:29"
"1161716616",7.769218,49.445568,"01:14:29"
"1161716616",7.769223,49.44594,"01:14:34"
"1161716616",7.769223,49.44594,"01:14:44"
"1161716616",7.769081,49.44556,"01:14:44"
"1161716616",7.769223,49.44594,"01:14:49"
"1161716616",7.769223,49.44594,"01:14:59"
"1161716616",7.769223,49.44594,"01:15:14"
"1161716616",7.769223,49.44594,"01:15:30"
"1161716616",7.769223,49.44594,"01:15:44"
"1161716616",7.769223,49.44594,"01:15:59"
"1161716616",7.769223,49.44594,"01:16:14"
"1161716616",7.769223,49.44594,"01:16:44"
"1161716616",7.769223,49.44594,"01:17:14"
"1161716616",7.769223,49.44594,"01:17:29"
"1161716616",7.769223,49.44594,"01:17:44"
"1161716616",7.769223,49.44594,"01:17:59"
"1161716616",7.769148,49.44578,"01:18:04"
"1161716616",7.769223,49.44594,"01:18:09"
"1161716616",7.769223,49.44594,"01:18:14"
"1161716616",7.769223,49.44594,"01:18:29"
"1161716616",7.769223,49.44594,"01:18:44"
"1161716616",7.769223,49.44594,"01:18:59"
"1161716616",7.769136,49.44545,"01:19:09"
"1161716616",7.769223,49.44594,"01:19:14"
"1161716616",7.769223,49.44594,"01:19:14"
"1161716616",7.769158,49.44602,"01:19:19"
"1161716616",7.76915,49.445633,"01:19:24"
"1161716616",7.769153,49.446014,"01:19:29"
"1161716616",7.769153,49.446014,"01:19:44"
"1161716616",7.769043,49.446274,"01:19:59"
"1161716616",7.768965,49.446426,"01:19:59"
"1161716616",7.76877,49.446815,"01:20:04"
"1161716616",7.768707,49.446953,"01:20:09"
"1161716616",7.7686,49.447174,"01:20:14"
"1161716616",7.7686,49.447174,"01:20:14"
"1161716616",7.768297,49.447327,"01:20:19"
"1161716616",7.767532,49.447342,"01:20:24"
"1161716616",7.767097,49.447346,"01:20:29"
"1161716616",7.76676,49.447342,"01:20:29"
"1161716616",7.765782,49.447376,"01:20:34"
"1161716616",7.765127,49.44742,"01:20:39"
"1161716616",7.763997,49.447422,"01:20:44"
"1161716616",7.763997,49.447422,"01:20:44"
"1161716616",7.762627,49.447403,"01:20:49"
"1161716616",7.761958,49.44741,"01:20:54"
"1161716616",7.761128,49.44743,"01:20:59"
"1161716616",7.761128,49.44743,"01:20:59"
"1161716616",7.759857,49.447655,"01:21:04"
"1161716616",7.758688,49.447803,"01:21:09"
"1161716616",7.757938,49.44783,"01:21:14"
"1161716616",7.75719,49.447865,"01:21:14"
"1161716616",7.756228,49.447895,"01:21:19"
"1161716616",7.755113,49.447803,"01:21:24"
"1161716616",7.753997,49.4476,"01:21:29"
"1161716616",7.753997,49.4476,"01:21:29"
"1161716616",7.752617,49.44766,"01:21:34"
"1161716616",7.751648,49.44782,"01:21:39"
"1161716616",7.751068,49.44771,"01:21:44"
"1161716616",7.750732,49.447533,"01:21:44"
"1161716616",7.750373,49.447144,"01:21:49"
"1161716616",7.749975,49.446377,"01:21:54"
"1161716616",7.749383,49.445534,"01:21:59"
"1161716616",7.749383,49.445534,"01:21:59"
"1161716616",7.748527,49.44508,"01:22:04"
"1161716616",7.74774,49.444725,"01:22:09"
